# anglesy_0
0.000000000000000000e+00,4.400000000000000022e-01
1.000000000000000000e+01,7.199999999999999734e-01
2.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.239999999999999991e+00
4.000000000000000000e+01,1.449999999999999956e+00
5.000000000000000000e+01,1.560000000000000053e+00
6.000000000000000000e+01,1.580000000000000071e+00
7.000000000000000000e+01,1.520000000000000018e+00
8.000000000000000000e+01,1.340000000000000080e+00
9.000000000000000000e+01,1.120000000000000107e+00
1.000000000000000000e+02,8.599999999999999867e-01
1.100000000000000000e+02,5.699999999999999512e-01
1.200000000000000000e+02,3.300000000000000155e-01
1.300000000000000000e+02,1.300000000000000044e-01
1.400000000000000000e+02,2.000000000000000042e-02
1.500000000000000000e+02,0.000000000000000000e+00
1.600000000000000000e+02,5.000000000000000278e-02
1.700000000000000000e+02,2.099999999999999922e-01
