# angles,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35
0.000000000000000000e+00,3.541666666666666852e-01
5.000000000000000000e+00,3.125000000000000000e-01
1.000000000000000000e+01,2.500000000000000000e-01
1.500000000000000000e+01,2.500000000000000000e-01
2.000000000000000000e+01,1.875000000000000000e-01
2.500000000000000000e+01,2.083333333333333426e-01
3.000000000000000000e+01,1.458333333333333426e-01
3.500000000000000000e+01,2.708333333333333703e-01
4.000000000000000000e+01,1.875000000000000000e-01
4.500000000000000000e+01,3.333333333333333703e-01
5.000000000000000000e+01,2.708333333333333703e-01
5.500000000000000000e+01,3.750000000000000000e-01
6.000000000000000000e+01,4.375000000000000000e-01
6.500000000000000000e+01,4.583333333333333703e-01
7.000000000000000000e+01,5.625000000000001110e-01
7.500000000000000000e+01,6.458333333333333703e-01
8.000000000000000000e+01,6.666666666666667407e-01
8.500000000000000000e+01,8.125000000000001110e-01
9.000000000000000000e+01,7.916666666666667407e-01
9.500000000000000000e+01,8.958333333333333703e-01
1.000000000000000000e+02,8.750000000000000000e-01
1.050000000000000000e+02,1.000000000000000000e+00
1.100000000000000000e+02,9.583333333333333703e-01
1.150000000000000000e+02,1.000000000000000000e+00
1.200000000000000000e+02,9.791666666666666297e-01
1.250000000000000000e+02,9.583333333333333703e-01
1.300000000000000000e+02,9.375000000000001110e-01
1.350000000000000000e+02,9.166666666666667407e-01
1.400000000000000000e+02,8.541666666666666297e-01
1.450000000000000000e+02,8.541666666666666297e-01
1.500000000000000000e+02,7.291666666666666297e-01
1.550000000000000000e+02,7.083333333333333703e-01
1.600000000000000000e+02,6.250000000000000000e-01
1.650000000000000000e+02,5.000000000000000000e-01
1.700000000000000000e+02,5.208333333333333703e-01
1.750000000000000000e+02,4.166666666666666852e-01
